Rt,Rp,phi1,phib,a,b,A1,A2,theta,status
-0.2,-0.2,39,116,7.8,6,2,-6,27.5,InProgress
-0.2,-0.1,39,116,7.8,6,2,-6,27.5,InProgress
-0.2,0,39,116,7.8,6,2,-6,27.5,InProgress
-0.2,0.1,39,116,7.8,6,2,-6,27.5,InProgress
-0.2,0.2,39,116,7.8,6,2,-6,27.5,InProgress
-0.1,-0.2,39,116,7.8,6,2,-6,27.5,InProgress
-0.1,-0.1,39,116,7.8,6,2,-6,27.5,InProgress
-0.1,0,39,116,7.8,6,2,-6,27.5,InProgress
-0.1,0.1,39,116,7.8,6,2,-6,27.5,InProgress
-0.1,0.2,39,116,7.8,6,2,-6,27.5,InProgress
0,-0.2,39,116,7.8,6,2,-6,27.5,InProgress
0,-0.1,39,116,7.8,6,2,-6,27.5,InProgress
0,0,39,116,7.8,6,2,-6,27.5,InProgress
0,0.1,39,116,7.8,6,2,-6,27.5,InProgress
0,0.2,39,116,7.8,6,2,-6,27.5,InProgress
0.1,-0.2,39,116,7.8,6,2,-6,27.5,InProgress
0.1,-0.1,39,116,7.8,6,2,-6,27.5,InProgress
0.1,0,39,116,7.8,6,2,-6,27.5,InProgress
0.1,0.1,39,116,7.8,6,2,-6,27.5,InProgress
0.1,0.2,39,116,7.8,6,2,-6,27.5,InProgress
0.2,-0.2,39,116,7.8,6,2,-6,27.5,InProgress
0.2,-0.1,39,116,7.8,6,2,-6,27.5,InProgress
0.2,0,39,116,7.8,6,2,-6,27.5,InProgress
0.2,0.1,39,116,7.8,6,2,-6,27.5,InProgress
0.2,0.2,39,116,7.8,6,2,-6,27.5,InProgress
