Rt,Rp,phi1,phib,a,b,A1,A2,theta,status
0.5,-1,39,116,7.8,6,2,-6,27.5,InProgress
0.5,-0.5,39,116,7.8,6,2,-6,27.5,InProgress
0.5,0,39,116,7.8,6,2,-6,27.5,InProgress
0.5,0.5,39,116,7.8,6,2,-6,27.5,InProgress
0.5,1,39,116,7.8,6,2,-6,27.5,InProgress
-0.5,-1,39,116,7.8,6,2,-6,27.5,InProgress
-0.5,-0.5,39,116,7.8,6,2,-6,27.5,InProgress
-0.5,0,39,116,7.8,6,2,-6,27.5,InProgress
-0.5,0.5,39,116,7.8,6,2,-6,27.5,InProgress
-0.5,1,39,116,7.8,6,2,-6,27.5,InProgress
-1,0.5,39,116,7.8,6,2,-6,27.5,InProgress
0,0.5,39,116,7.8,6,2,-6,27.5,InProgress
1,0.5,39,116,7.8,6,2,-6,27.5,InProgress
-1,-0.5,39,116,7.8,6,2,-6,27.5,InProgress
0,-0.5,39,116,7.8,6,2,-6,27.5,InProgress
1,-0.5,39,116,7.8,6,2,-6,27.5,InProgress
